海口	----	17:00	----
02	徐闻	20:57	21:03	6分钟
03	湛江西	22:49	22:53	4分钟
04	茂名东	00:43	00:53	10分钟
05	肇庆	04:25	04:37	12分钟
06	佛山	06:13	06:18	5分钟
07	广州	07:14	07:38	24分钟
08	韶关东	10:12	10:18	6分钟
09	丹霞山	10:45	10:50	5分钟
11	吉安	14:48	14:56	8分钟
12	向塘	16:53	17:04	11分钟
13	南昌	17:22	17:42	20分钟
14	九江	18:58	19:10	12分钟
15	蕲春	20:07	20:09	2分钟
16	麻城	21:10	21:13	3分钟
17	潢川	22:17	22:20	3分钟
18	阜阳	23:16	23:41	25分钟
19	亳州	00:32	00:35	3分钟
20	商丘南	01:11	01:13	2分钟
21	菏泽	02:07	02:10	3分钟
22	聊城	03:17	03:20	3分钟
23	衡水	04:37	04:40	3分钟
24	霸州	05:55	05:58	3分钟
25	天津	07:22	07:29	7分钟
26	唐山	08:46	08:49	3分钟
27	北戴河	09:58	10:01	3分钟
28	山海关	10:40	10:46	6分钟
29	绥中北	11:15	11:25	10分钟
30	锦州南	12:08	12:19	11分钟
31	沈阳北	14:07	14:15	8分钟
32	长春	16:58	17:04	6分钟
33	哈尔滨	19:10	19:10	----
